bedrift,avdeling,telefon,bransje,org num
Samsung Norge,Oslo,21 62 90 99,"['Agenturer', 'Agenturhandel - annet']",988656615.0
AbbVie AS,Viken,67 81 80 00,"['Apotek og farmasøytiske varer', 'Apotek og farmasøytiske varer  - agentur og engros', 'Grossister', 'Agenturer', 'Agenturhandel - annet']",998085497.0
Proteket AS,Oslo,21 06 31 31,"['Medisinsk-teknisk utstyr', 'Produsenter', 'Medisinsk-teknisk utstyr - produksjon', 'Agenturer', 'Agenturhandel - annet']",974887754.0
Alliance Optikk As,Viken,,"['Agenturer', 'Agenturhandel - annet']",891184522.0
Alliance Optikk AS,Viken,909 11 295,"['Agenturer', 'Agenturhandel - annet']",891184522.0
Alliance Optikk AS,Viken,32 76 61 40,"['Agenturer', 'Agenturhandel - annet']",891184522.0
Procter & Gamble Norge AS,Trøndelag,,"['Agenturer', 'Agenturhandel - annet']",922869642.0
Procter & Gamble Norge AS,Oslo,22 63 26 00,"['Agenturer', 'Agenturhandel - annet']",922869642.0
Invacare AS,Nordland,,"['Agenturer', 'Agenturhandel - annet']",970993487.0
Invacare As avd Larvik,Vestfold og Telemark,22 57 95 00,"['Agenturer', 'Agenturhandel - annet']",970993487.0
Invacare AS avd. Bodø,Nordland,22 57 95 00,"['Agenturer', 'Agenturhandel - annet']",970993487.0
Invacare AS,Oslo,22 57 95 00,"['Agenturer', 'Agenturhandel - annet']",970993487.0
Eli Lilly Norge AS,Oslo,22 88 18 00,"['Agenturer', 'Agenturhandel - annet']",865684452.0
Aprimeo Diagnostics Nordic AS,Oslo,,"['Agenturer', 'Agenturhandel - annet']",925223166.0
Østnes Aero AS,Oslo,24 14 58 00,"['Agenturer', 'Agenturhandel - annet']",986297626.0
Astellas Pharma,Viken,66 76 46 00,"['Agenturer', 'Agenturhandel - annet']",968090364.0
Orion Pharma AS,Oslo,400 04 210,"['Agenturer', 'Agenturhandel - annet']",967727970.0
Galderma Nordic AB,Oslo,,"['Agenturer', 'Agenturhandel - annet']",982731062.0
Eiken Maritime AS,Vestfold og Telemark,464 31 121,"['Agenturer', 'Agenturhandel - annet']",925475521.0
Artinorway AS,Oslo,22 87 19 80,"['Agenturer', 'Agenturhandel - annet']",941270409.0
Nfm Group AS,Viken,480 76 678,"['Agenturer', 'Agenturhandel - annet']",915546684.0
Swedish Orphan Biovitrum AS,Oslo,66 82 34 00,"['Agenturer', 'Agenturhandel - annet']",976313682.0
Skandinavisk Oljesikkerhet AS,Viken,66 91 65 00,"['Agenturer', 'Agenturhandel - annet']",951173398.0
HL Display Norge AS,Viken,66 98 36 00,"['Agenturer', 'Agenturhandel - annet']",955437071.0
Gb Service AS,Rogaland,51 11 60 61,"['Agenturer', 'Agenturhandel - annet']",891096992.0
Bladkongen.no,Oslo,,"['Agenturer', 'Agenturhandel - annet']",992305134.0
Bladkongen.no,Oslo,21 67 61 15,"['Agenturer', 'Agenturhandel - annet']",992305134.0
Mediafy Magazines AS,Oslo,21 67 61 15,"['Agenturer', 'Agenturhandel - annet']",992305134.0
Scanvi-Interyards AS,Oslo,24 14 51 30,"['Agenturer', 'Agenturhandel - annet']",994279696.0
Thea Nordic AB Filial Norge,Viken,,"['Agenturer', 'Agenturhandel - annet']",997300300.0
Infinite Agency AS,Oslo,922 96 136,"['Agenturer', 'Agenturhandel - annet']",923534784.0
Huset Høyer AS,Oslo,990 10 813,"['Agenturer', 'Agenturhandel - annet']",985702209.0
DEIF Norge AS,Vestfold og Telemark,33 38 16 00,"['Agenturer', 'Agenturhandel - annet']",821756162.0
Norsk Boligbygg AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",898250822.0
S J Bedware Company AS,Vestland,57 71 89 20,"['Agenturer', 'Agenturhandel - annet']",980684733.0
Virbac Norge,Viken,23 65 17 33,"['Agenturer', 'Agenturhandel - annet']",997972414.0
Novus Dental AS,Oslo,22 42 72 00,"['Agenturer', 'Agenturhandel - annet']",914068169.0
Treasure Box AS,Oslo,22 56 08 18,"['Agenturer', 'Agenturhandel - annet']",989086030.0
Dyrberg/Kern,Oslo,,"['Agenturer', 'Agenturhandel - annet']",989086030.0
At Home Interiør AS,Oslo,473 95 189,"['Agenturer', 'Agenturhandel - annet']",989313584.0
Home,Oslo,,"['Agenturer', 'Agenturhandel - annet']",989313584.0
Nordnorsk Storkjøkken AS,Troms og Finnmark,958 29 763,"['Agenturer', 'Agenturhandel - annet']",980566862.0
Dentinor AS,Vestfold og Telemark,33 61 13 62,"['Agenturer', 'Agenturhandel - annet']",997523571.0
Wipak Norway,Viken,22 90 13 10,"['Agenturer', 'Agenturhandel - annet']",913906322.0
Newell Rubbermaid Norway AS,Oslo,,"['Agenturer', 'Agenturhandel - annet']",990243697.0
Nwl Norway AS,Oslo,,"['Agenturer', 'Agenturhandel - annet']",990243697.0
Nhm Utstyr AS,Viken,917 02 600,"['Agenturer', 'Agenturhandel - annet']",924987960.0
Christiania City Auktionsforretning AS,Oslo,22 12 36 36,"['Agenturer', 'Agenturhandel - annet']",979541775.0
Quarnstrøm & Vang AS,Trøndelag,,"['Agenturer', 'Agenturhandel - annet']",915547796.0
Maki Norge AS,Vestfold og Telemark,,"['Agenturer', 'Agenturhandel - annet']",916928483.0
Baltex Health & Beauty AS,Oslo,,"['Agenturer', 'Agenturhandel - annet']",924690836.0
Sport & Utemiljø AS,Agder,986 43 363,"['Agenturer', 'Agenturhandel - annet']",918844163.0
Südpack Verpackungen Gmbh & Co Kg,Oslo,,"['Agenturer', 'Agenturhandel - annet']",918165096.0
Camp Scandinavia AS,Oslo,23 23 31 20,"['Agenturer', 'Agenturhandel - annet']",857270312.0
Galleri Riis,Oslo,22 94 40 40,"['Agenturer', 'Agenturhandel - annet']",930699314.0
Jaktcompagniet AS,Agder,404 18 148,"['Agenturer', 'Agenturhandel - annet']",986296077.0
Pro-Dent Norge AS,Oslo,926 49 745,"['Agenturer', 'Agenturhandel - annet']",913884086.0
Gabrielsen Kakkelovner AS,Viken,901 41 950,"['Agenturer', 'Agenturhandel - annet']",915959288.0
Medice Nordic Norway AS,Viken,69 31 11 11,"['Agenturer', 'Agenturhandel - annet']",916464010.0
Frank Grønsund Agentur AS,Viken,66 76 69 66,"['Agenturer', 'Agenturhandel - annet']",956477298.0
Agrol AS,Oslo,22 17 47 74,"['Agenturer', 'Agenturhandel - annet']",966459778.0
KP Nord AS,Nordland,916 99 874,"['Agenturer', 'Agenturhandel - annet']",979491395.0
Tk Plater AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",912645657.0
Forbruksvarer AS,Oslo,22 20 80 80,"['Agenturer', 'Agenturhandel - annet']",915477801.0
Mondi Moss AS,Trøndelag,,"['Agenturer', 'Agenturhandel - annet']",977037875.0
Mondi Moss AS,Viken,69 24 26 00,"['Agenturer', 'Agenturhandel - annet']",977037875.0
Dagfinn Henriksen AS,Troms og Finnmark,907 48 506,"['Agenturer', 'Agenturhandel - annet']",997794753.0
Jotan Markiser AS,Vestfold og Telemark,33 04 67 90,"['Agenturer', 'Agenturhandel - annet']",917582297.0
Plantronics Norway,Viken,,"['Agenturer', 'Agenturhandel - annet']",998367808.0
Mestec A/S,Oslo,22 19 84 00,"['Agenturer', 'Agenturhandel - annet']",938342822.0
Dermaline Medical Global Group AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",921019769.0
Dermaline Medical Norway AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",921285361.0
Future Cad In Norway,Viken,,"['Agenturer', 'Agenturhandel - annet']",984461445.0
Jr Holding Kongsberg AS,Viken,,"['Hovedkontortjenester', 'Agenturer', 'Agenturhandel - annet']",992497823.0
Otto Helge Hjellegjerde Agenturer AS,Oslo,,"['Agenturer', 'Agenturhandel - annet']",883361482.0
AMO Norway AS,Oslo,800 10 555,"['Agenturer', 'Agenturhandel - annet']",984163479.0
Fluke Norge AS,Oslo,800 18 227,"['Agenturer', 'Agenturhandel - annet']",965362118.0
Fernando Norge AS,Oslo,475 19 067,"['Agenturer', 'Agenturhandel - annet']",923157778.0
Kinera AS,Vestfold og Telemark,452 20 383,"['Agenturer', 'Agenturhandel - annet']",992115149.0
Elysee Dental AS,Viken,32 89 60 55,"['Agenturer', 'Agenturhandel - annet']",916938586.0
Payback Lubricants Norge AS,Nordland,453 94 140,"['Agenturer', 'Agenturhandel - annet']",915105904.0
Diz AS,Trøndelag,928 30 551,"['Agenturer', 'Agenturhandel - annet']",998903718.0
Ecoteknologi AS,Vestland,468 43 818,"['Agenturer', 'Agenturhandel - annet']",917617333.0
Aak Norway AS,Oslo,,"['Agenturer', 'Agenturhandel - annet']",988369403.0
Knut Larsen AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",976180445.0
Tara,Oslo,22 42 99 49,"['Agenturer', 'Agenturhandel - annet']",979971516.0
Tgs Lysteknikk AS,Trøndelag,971 14 000,"['Agenturer', 'Agenturhandel - annet']",923085106.0
Nu Skin Norway AS,Oslo,,"['Agenturer', 'Agenturhandel - annet']",987156139.0
Hair Agentur AS,Innlandet,,"['Agenturer', 'Agenturhandel - annet']",918034439.0
Marin Partner AS,Vestfold og Telemark,33 42 00 91,"['Agenturer', 'Agenturhandel - annet']",911583569.0
Rolf Persen AS,Troms og Finnmark,950 73 444,"['Agenturer', 'Agenturhandel - annet']",992092939.0
Brande Agentur AS,Agder,901 92 344,"['Agenturer', 'Agenturhandel - annet']",916069391.0
Swimtag Nordic AS,Rogaland,,"['Agenturer', 'Agenturhandel - annet']",912259196.0
Wowbrow CC Vest AS,Oslo,,"['Agenturer', 'Agenturhandel - annet']",921187971.0
Elverdi Norge AS,Nordland,,"['Agenturer', 'Agenturhandel - annet']",998679494.0
Albert Vold Interiør AS,Trøndelag,72 84 62 05,"['Agenturer', 'Agenturhandel - annet']",915920756.0
Scantoy AS,Møre og Romsdal,944 93 659,"['Agenturer', 'Agenturhandel - annet']",925131393.0
Webcrm,Agder,924 47 292,"['Agenturer', 'Agenturhandel - annet']",914831555.0
Jojo Agenturer AS,Oslo,,"['Agenturer', 'Agenturhandel - annet']",912443108.0
Wabari Solutions AS,Oslo,,"['Agenturer', 'Agenturhandel - annet']",914066964.0
Nord Agenturer AS,Troms og Finnmark,901 48 323,"['Agenturer', 'Agenturhandel - annet']",989191500.0
International Cooperation AS,Vestland,,"['Agenturer', 'Agenturhandel - annet']",923008462.0
Arctic Paper Norge AS,Oslo,66 82 35 50,"['Agenturer', 'Agenturhandel - annet']",913020332.0
Normann Frisør Agentur,Troms og Finnmark,901 99 511,"['Agenturer', 'Agenturhandel - annet']",982025990.0
Nfm AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",922899320.0
Ansell Norway AS,Oslo,,"['Agenturer', 'Agenturhandel - annet']",998014786.0
Didell AS,Vestfold og Telemark,33 50 80 00,"['Agenturer', 'Agenturhandel - annet']",914276489.0
Tove Trading AS,Oslo,,"['Agenturer', 'Agenturhandel - annet']",964753520.0
Hl Salg AS,Vestland,995 71 115,"['Agenturer', 'Agenturhandel - annet']",998595193.0
The Junction AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",915967264.0
Dannevig AS,Oslo,474 84 448,"['Agenturer', 'Agenturhandel - annet']",916575092.0
Shincon AS,Rogaland,922 15 090,"['Agenturer', 'Agenturhandel - annet']",991477829.0
Bru1 AS,Rogaland,932 36 268,"['Agenturer', 'Agenturhandel - annet']",813314282.0
Fabricair AS,Trøndelag,934 91 122,"['Agenturer', 'Agenturhandel - annet']",913026861.0
Førstehjelpspartner AS,Nordland,971 42 309,"['Agenturer', 'Agenturhandel - annet']",997095987.0
Tp Vision Norway AS,Oslo,,"['Agenturer', 'Agenturhandel - annet']",997703839.0
Tor Hodnes Eftf Dagligvareservice AS,Rogaland,916 92 968,"['Agenturer', 'Agenturhandel - annet']",989348957.0
NNZ NORWAY AS,Innlandet,954 95 046,"['Emballasje', 'Pakking', 'Agenturer', 'Agenturhandel - annet']",913458001.0
Nnz Norway AS,Innlandet,,"['Agenturer', 'Agenturhandel - annet']",913458001.0
Caretec AS,Troms og Finnmark,,"['Agenturer', 'Agenturhandel - annet']",996234576.0
Fesenso AS,Vestland,905 80 320,"['Agenturer', 'Agenturhandel - annet']",919578556.0
Arilds Agentur AS,Vestfold og Telemark,33 19 88 58,"['Agenturer', 'Agenturhandel - annet']",977065224.0
Medi-Tools AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",913359569.0
Frisørpartner AS,Trøndelag,900 84 604,"['Agenturer', 'Agenturhandel - annet']",984890605.0
Isandi,Oslo,22 50 24 70,"['Agenturer', 'Agenturhandel - annet']",986348867.0
Isandi Konsept AS,Oslo,940 36 424,"['Agenturer', 'Agenturhandel - annet']",986348867.0
Norsk Metalloverflate AS,Vestland,56 15 09 01,"['Agenturer', 'Agenturhandel - annet']",914117771.0
El.Salg AS,Innlandet,,"['Agenturer', 'Agenturhandel - annet']",911677970.0
Ardagh Glass Moss AS,Viken,69 91 00 42,"['Glass og glassarbeid', 'Agenturer', 'Agenturhandel - annet']",816665752.0
Ardagh Group Moss,Viken,69 91 00 42,"['Agenturer', 'Agenturhandel - annet']",816665752.0
Scandi Agency AS,Oslo,,"['Agenturer', 'Agenturhandel - annet']",922124531.0
Dentsolution AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",992326425.0
Tfk Produkter AS,Trøndelag,468 02 111,"['Agenturer', 'Agenturhandel - annet']",916339410.0
Lite Norge AS,Oslo,,"['Agenturer', 'Agenturhandel - annet']",917207038.0
Network Broking AS,Oslo,22 04 46 50,"['Agenturer', 'Agenturhandel - annet']",979924720.0
Network Broking AS,Oslo,922 29 726,"['Agenturer', 'Agenturhandel - annet']",979924720.0
Reptilutstyr AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",925413976.0
Elga Norge AS,Møre og Romsdal,,"['Agenturer', 'Agenturhandel - annet']",919325550.0
Stølan Utvikling AS,Vestfold og Telemark,,"['Agenturer', 'Agenturhandel - annet']",915904394.0
Rekron Industrigummi AS,Viken,906 54 275,"['Agenturer', 'Agenturhandel - annet']",913038576.0
Alba Security AS,Rogaland,,"['Agenturer', 'Agenturhandel - annet']",923849653.0
Gomatic AS,Oslo,,"['Agenturer', 'Agenturhandel - annet', 'Tekniske konsulenter', 'Konsulenter']",919371846.0
Geberit Service AS,Vestfold og Telemark,35 57 35 69,"['Agenturer', 'Agenturhandel - annet']",988069051.0
Aasland Agentur AS,Troms og Finnmark,911 21 388,"['Agenturer', 'Agenturhandel - annet']",999330010.0
Mellymoon AS,Viken,920 38 540,"['Agenturer', 'Agenturhandel - annet']",912399885.0
Buskerud Assuranse AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",919360984.0
Building Automation Products Norway AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",915913113.0
Pa Consulting AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",924509678.0
Envir Holding AS,Vestland,55 20 04 00,"['Agenturer', 'Agenturhandel - annet']",916973985.0
Alf Viggo Johnsen Agentur AS,Vestland,,"['Agenturer', 'Agenturhandel - annet']",993642959.0
Edsbyn AS,Oslo,979 98 564,"['Agenturer', 'Agenturhandel - annet']",916242727.0
Pro Visjon AS,Viken,417 86 086,"['Agenturer', 'Agenturhandel - annet']",915820689.0
Jarle Aakvik AS,Trøndelag,957 04 103,"['Agenturer', 'Agenturhandel - annet']",991838880.0
Diagnostic Technologies AS,Oslo,,"['Agenturer', 'Agenturhandel - annet']",917142718.0
Bengt Pettersen AS,Viken,917 10 748,"['Agenturer', 'Agenturhandel - annet']",994502603.0
RK Consult AS,Vestfold og Telemark,957 54 662,"['Agenturer', 'Agenturhandel - annet']",991519009.0
Rolf Walter Køtterheinrich,Vestfold og Telemark,957 54 662,"['Agenturer', 'Agenturhandel - annet']",991519009.0
Industri Supply Ltd,Troms og Finnmark,,"['Agenturer', 'Agenturhandel - annet']",994010514.0
Tikomanik AS,Viken,911 07 946,"['Agenturer', 'Agenturhandel - annet']",980664082.0
Sandefjord Automasjon AS,Vestfold og Telemark,901 09 311,"['Agenturer', 'Agenturhandel - annet']",995916967.0
Åkerholt Agenturfirma AS,Vestfold og Telemark,33 77 09 99,"['Agenturer', 'Agenturhandel - annet']",986432515.0
Fab2 AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",820602692.0
Sol Markiser AS,Oslo,900 40 035,"['Agenturer', 'Agenturhandel - annet']",980381870.0
Green Clean Technology AS,Vestfold og Telemark,,"['Agenturer', 'Agenturhandel - annet']",914224764.0
Mosheim AS,Oslo,478 61 065,"['Agenturer', 'Agenturhandel - annet']",918878734.0
The Martin Vinje Company AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",990949360.0
Proffhagen AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",922121516.0
Nortools AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",971558954.0
Amcor Flexibles Valkeakoski Oy Filial Norge,Vestfold og Telemark,,"['Agenturer', 'Agenturhandel - annet']",987801948.0
Merc Holding AS,Vestfold og Telemark,,"['Agenturer', 'Agenturhandel - annet']",916864604.0
Mmabs AS,Vestland,,"['Agenturer', 'Agenturhandel - annet']",920578799.0
Blunk Details AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",927118211.0
House AS,Oslo,909 69 846,"['Agenturer', 'Agenturhandel - annet']",814041352.0
Funksport AS,Viken,452 36 397,"['Agenturer', 'Agenturhandel - annet']",998924146.0
Biomekanikk AS,Oslo,,"['Agenturer', 'Agenturhandel - annet']",991707417.0
Com-In AS,Vestfold og Telemark,33 46 71 31,"['Agenturer', 'Agenturhandel - annet']",968287397.0
Ema Agentur AS,Nordland,,"['Agenturer', 'Agenturhandel - annet']",997052285.0
Mh Agenturer AS,Agder,479 10 991,"['Agenturer', 'Agenturhandel - annet']",927120879.0
Norsk Biovarme AS,Innlandet,,"['Agenturer', 'Agenturhandel - annet']",923231595.0
Sverre Østrem AS,Møre og Romsdal,920 38 636,"['Agenturer', 'Agenturhandel - annet']",996429628.0
4labber og 1hale AS,Viken,973 09 316,"['Agenturer', 'Agenturhandel - annet']",914241774.0
Cinetek AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",913406052.0
Trioplast AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",926915878.0
Engebu AS,Agder,,"['Agenturer', 'Agenturhandel - annet']",919276444.0
Matok AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",916300506.0
Hallsystemer AS,Oslo,996 08 500,"['Agenturer', 'Agenturhandel - annet']",980069214.0
Deltadent AS,Rogaland,,"['Agenturer', 'Agenturhandel - annet']",913633628.0
Exron AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",919334630.0
HA.Maskin AS,Viken,902 08 047,"['Agenturer', 'Agenturhandel - annet']",912110435.0
Epinor AS,Viken,928 31 700,"['Agenturer', 'Agenturhandel - annet']",937739265.0
Diner Nord AS,Troms og Finnmark,,"['Agenturer', 'Agenturhandel - annet']",970980288.0
Toy AS,Trøndelag,,"['Agenturer', 'Agenturhandel - annet']",825388982.0
Sandra & Iris Holding AS,Møre og Romsdal,,"['Agenturer', 'Agenturhandel - annet']",911902222.0
VVS - Agenten AS,Vestland,56 32 11 19,"['Agenturer', 'Agenturhandel - annet']",890058272.0
Tenderflame Nordic AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",923017976.0
Norske Tennisbaner AS,Oslo,22 64 06 66,"['Agenturer', 'Agenturhandel - annet']",971093439.0
Støltun Holding AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",981255828.0
Norstream AS,Agder,37 09 33 70,"['Agenturer', 'Agenturhandel - annet']",978605680.0
Norstream AS,Agder,,"['Agenturer', 'Agenturhandel - annet']",978605680.0
Studio Krøger AS,Oslo,900 28 998,"['Agenturer', 'Agenturhandel - annet']",923668993.0
Tverraana AS,Agder,,"['Agenturer', 'Agenturhandel - annet']",924532971.0
Northstar Sports Agency AS,Trøndelag,,"['Agenturer', 'Agenturhandel - annet']",912183017.0
Prydz Interiør AS,Trøndelag,,"['Agenturer', 'Agenturhandel - annet']",968402455.0
Easy Trade AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",915713807.0
Oleon Northern Europe AS,Vestfold og Telemark,,"['Agenturer', 'Agenturhandel - annet']",984406231.0
Living & Dining AS,Vestfold og Telemark,900 93 912,"['Agenturer', 'Agenturhandel - annet']",912121054.0
Findreng Consult AS,Vestland,,"['Agenturer', 'Agenturhandel - annet']",922191867.0
Scandinavian Taste AS,Oslo,489 99 292,"['Agenturer', 'Agenturhandel - annet']",925280801.0
Ketil Bro,Viken,913 12 621,"['Agenturer', 'Agenturhandel - annet']",980654443.0
AESSEAL Nordic,Viken,,"['Agenturer', 'Agenturhandel - annet']",988605042.0
Hollevik AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",918601813.0
Sørlandets Bedriftsservice AS,Rogaland,950 44 550,"['Agenturer', 'Agenturhandel - annet']",921565003.0
Arne Mjøsund AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",992562854.0
Dine Hjelpemidler AS,Oslo,940 88 889,"['Agenturer', 'Agenturhandel - annet']",914894573.0
Ki Søvik Invest AS,Møre og Romsdal,,"['Agenturer', 'Agenturhandel - annet']",911771160.0
Micro A/S,Vestfold og Telemark,33 77 78 00,"['Agenturer', 'Agenturhandel - annet']",960210808.0
Betamo AS,Viken,928 57 754,"['Agenturer', 'Agenturhandel - annet']",976497341.0
Ålesund Maritime AS,Møre og Romsdal,976 03 595,"['Agenturer', 'Agenturhandel - annet']",920493203.0
Jon Lindstad AS,Oslo,22 28 78 33,"['Agenturer', 'Agenturhandel - annet']",981298772.0
Go Healthy AS,Vestfold og Telemark,905 30 337,"['Agenturer', 'Agenturhandel - annet']",916629249.0
go healthyshop,Vestfold og Telemark,,"['Agenturer', 'Agenturhandel - annet']",916629249.0
Best Armering AS,Viken,32 25 49 10,"['Agenturer', 'Agenturhandel - annet']",987603410.0
Nereides AS,Oslo,22 02 02 05,"['Agenturer', 'Agenturhandel - annet']",986404635.0
Intercon AS,Trøndelag,73 51 13 40,"['Agenturer', 'Agenturhandel - annet']",831210672.0
Ken-Nor AS,Viken,416 12 480,"['Agenturer', 'Agenturhandel - annet']",980098834.0
Bjørn Agenturer AS,Troms og Finnmark,77 65 62 92,"['Agenturer', 'Agenturhandel - annet']",980277100.0
Provi AS,Rogaland,913 89 775,"['Agenturer', 'Agenturhandel - annet']",913039483.0
Jag Design AS,Troms og Finnmark,916 12 026,"['Agenturer', 'Agenturhandel - annet']",996200701.0
Rm Brands AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",916992998.0
Richard Thu AS,Rogaland,,"['Agenturer', 'Agenturhandel - annet']",987658525.0
Jøli Safe AS,Viken,66 84 21 00,"['Agenturer', 'Agenturhandel - annet']",922070261.0
Dybwad-Olsen AS,Viken,67 58 42 50,"['Agenturer', 'Agenturhandel - annet']",830412492.0
Displaysystem AS,Nordland,,"['Agenturer', 'Agenturhandel - annet']",917195927.0
Multitrading AS,Trøndelag,,"['Agenturer', 'Agenturhandel - annet']",817932762.0
Lofoten Supply Team AS,Nordland,941 48 355,"['Agenturer', 'Agenturhandel - annet']",915101046.0
Wenches Agentur AS,Rogaland,,"['Agenturer', 'Agenturhandel - annet']",916593767.0
Marteli AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",926402935.0
Skanpro AS,Viken,948 43 034,"['Agenturer', 'Agenturhandel - annet']",915280544.0
Jevnaker Agentur Ltd,Viken,61 31 13 31,"['Agenturer', 'Agenturhandel - annet']",991541241.0
Hygieneservice AS,Oslo,,"['Agenturer', 'Agenturhandel - annet']",916502435.0
Rock City Brygg AS,Trøndelag,,"['Agenturer', 'Agenturhandel - annet']",918191526.0
Westby Agentur AS,Troms og Finnmark,905 45 553,"['Agenturer', 'Agenturhandel - annet']",889217472.0
Vågsether AS,Møre og Romsdal,900 99 282,"['Agenturer', 'Agenturhandel - annet']",917862710.0
Frode Brox AS,Troms og Finnmark,,"['Agenturer', 'Agenturhandel - annet']",989031325.0
Jump Club AS,Trøndelag,918 11 326,"['Agenturer', 'Agenturhandel - annet']",992926325.0
Digihuset AS,Viken,960 06 700,"['Agenturer', 'Agenturhandel - annet']",921074611.0
Bor Sag og Meiselteknikk AS,Vestland,,"['Agenturer', 'Agenturhandel - annet']",920828132.0
Makulai AS,Vestfold og Telemark,,"['Agenturer', 'Agenturhandel - annet']",821197732.0
Kent AS,Rogaland,,"['Agenturer', 'Agenturhandel - annet']",916035926.0
Stilken og Strøm AS,Rogaland,405 49 543,"['Agenturer', 'Agenturhandel - annet']",919333367.0
